fips,region_id,county_name,adequacy_ratio,deficit_severity,contention_ratio,concentration,net_summer_gen_mw,inbound_thermal_sum,import_proxy_raw,import_proxy,peak_base,existing_load_adj,peak_adj,deliverable,queue_mw_active,contention,operating_dc_load_mw,import_cap_binding,frac_lines_lookup,frac_plants_county_fallback,frac_thermal_status_unknown,n_boundary_lines,n_op_plants,n_operating_dc
51036,a1fa3b9e-1105-4acf-af38-050d699de3ff,Charles City,9.433780903580399,9.433780903580399,3.316094321643731,0.0,189.4,6320,3160.0,9.533127508969681,19.066255017939362,0.0,19.066255017939362,179.8668724910303,486.35,63.225500000000004,0.0,True,1.0,0.0,0.0,11,49,0
51037,f71a3bda-f446-4afc-b9b3-9867fb2874e8,Charlotte,0.04475344367358233,0.04475344367358233,4.150289802180124,0.0,17.8,2620,1310.0,16.33766633944017,32.67533267888034,0.0,32.67533267888034,1.4623336605598354,1043.17,135.61210000000003,0.0,True,1.0,0.0,0.0,8,2,0
51041,e5ab0d74-0d73-497f-bfce-a2f11b8f48be,Chesterfield,0.0,-0.11941438117481507,0.19049389990726234,0.01927845829335017,435.3,9090,4545.0,571.8818295653298,1121.7136591306596,22.05,1143.7636591306596,0.0,1676.0,217.88,22.05,True,1.0,0.0,0.04400440044004401,24,56,1
51043,04b4cd34-1799-4cb1-8df0-04fe29465aef,Clarke,0.0,-0.26408458659224904,0.1533450187150381,0.0,10.0,2400,1200.0,21.194036997311876,42.38807399462375,0.0,42.38807399462375,0.0,50.0,6.5,0.0,True,1.0,0.0,0.0,7,1,0
51045,7f26a91f-c8f5-42e2-985a-0f8fbee48edd,Craig,0.0,-0.5,0.0,0.0,0.0,925,462.5,6.95227814370651,13.90455628741302,0.0,13.90455628741302,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,2,0,0
51047,3e4ca347-cd0e-408b-ba20-5cc1a1f732f3,Culpeper,0.0,-0.5,0.13109254938823064,0.23794978387673965,0.0,4910,2455.0,104.12491071155783,158.69682142311567,49.553,208.24982142311566,0.0,210.0,27.3,49.553,True,1.0,0.0,0.0,8,0,3
51049,d3a6fef7-8e88-417a-9a0c-4b617815cc6a,Cumberland,0.0,-0.5,4.046989117410861,0.0,0.0,1730,865.0,14.23669259502748,28.47338519005496,0.0,28.47338519005496,0.0,886.396,115.23148,0.0,True,1.0,0.0,0.014450867052023121,9,0,0
51051,29b7d277-3624-44b0-b694-098cbbb1f57f,Dickenson,0.0,-0.5,0.14535859005521234,0.0,0.0,3200,1600.0,17.886799803248145,35.77359960649629,0.0,35.77359960649629,0.0,40.0,5.2,0.0,True,1.0,0.0,0.0,10,0,0
51053,ff887fd6-5517-4593-ae4f-75b5c68ba4f4,Dinwiddie,0.0,-0.4393147460824308,0.12149187834297347,0.0,5.0,9580,4790.0,41.19616939225194,82.39233878450388,0.0,82.39233878450388,0.0,77.0,10.01,0.0,True,1.0,0.0,0.0,13,1,0
51057,835adb49-2271-4df0-a204-4c7b6fc3751f,Essex,0.09811584372763305,0.09811584372763305,0.1555101193691846,0.0,20.0,825,412.5,16.719169212567706,33.43833842513541,0.0,33.43833842513541,3.2808307874322935,40.0,5.2,0.0,True,1.0,0.0,0.0,3,1,0
51059,4a8022ed-cddc-420f-bfb0-98e8f5c3071e,Fairfax,0.0,-0.4701686299004233,0.0002720786027856646,0.025322470524051715,101.2,11525,5762.5,1696.2010068963632,3306.4980137927264,85.904,3392.4020137927264,0.0,7.1,0.9229999999999999,85.904,True,1.0,0.0,0.0021691973969631237,25,6,23
51061,d5c796a4-f40c-451b-b4fa-b9939ef175cb,Fauquier,3.974955690652427,3.974955690652427,0.33230494493409557,0.12220881255820659,1105.0,10025,5012.5,123.46490964236747,216.75281928473495,30.177,246.92981928473495,981.5350903576325,631.2,82.05600000000001,30.177,True,1.0,0.0,0.0,13,8,4
51063,b8f0c5b0-f70a-4a80-8a36-c3fadfee995c,Floyd,0.0,-0.5,0.0,0.0,0.0,5250,2625.0,20.558014832686947,41.116029665373894,0.0,41.116029665373894,0.0,0.0,0.0,0.0,True,1.0,0.0,0.0,5,0,0
51065,08d05c08-a5be-4f3e-b0b0-af58aaf07461,Fluvanna,11.036782064416117,11.036782064416117,0.24856510285520214,0.0,947.3,5790,2895.0,41.05564249678592,82.11128499357184,0.0,82.11128499357184,906.244357503214,157.0,20.41,0.0,True,1.0,0.0,0.0,16,6,0
51067,ea883fad-ec23-49b5-83d9-20449cafc7b0,Franklin,0.0,-0.5,0.23617180203780316,0.0,0.0,3325,1662.5,72.93419388502129,145.86838777004257,0.0,145.86838777004257,0.0,265.0,34.45,0.0,True,1.0,0.0,0.0,8,0,0
51069,0428ebf6-4724-4667-b68f-76fd419f2d84,Frederick,0.2657140606203129,0.2657140606203129,0.24952544141969016,0.05016900942390117,223.4,10350,5175.0,145.87690855449443,277.11681710898887,14.637,291.75381710898887,77.52309144550554,560.0,72.8,14.637,True,1.0,0.0,0.0,15,6,1
51071,5882aa92-a99a-466a-bdea-1de9ccf4a774,Giles,0.0,-0.12102081681514582,0.3622595133384635,0.0,27.2,2400,1200.0,35.885876067674005,71.77175213534801,0.0,71.77175213534801,0.0,200.0,26.0,0.0,True,1.0,0.0,0.0,11,4,0
51073,0a92d62a-f580-4dda-a5df-e2cc3cb9a09a,Gloucester,0.3763520520783295,0.3763520520783295,0.2513353414482847,0.0,101.1,1675,837.5,57.682297747939515,115.36459549587903,0.0,115.36459549587903,43.41770225206048,223.04,28.9952,0.0,True,1.0,0.0,0.029850746268656716,7,11,0
51075,f84e40fb-d7e5-4a94-bcc4-6ce57db14818,Goochland,0.0,-0.4371112364955726,0.032702157022302246,0.0,5.0,3825,1912.5,39.75272943351794,79.50545886703588,0.0,79.50545886703588,0.0,20.0,2.6,0.0,True,1.0,0.0,0.0,5,1,0
51077,b742a411-64d1-49b8-a515-fa3e86cf8039,Grayson,0.0,-0.37526544369065923,0.20528813277391297,0.0,5.0,1900,950.0,20.04256137168612,40.08512274337224,0.0,40.08512274337224,0.0,63.3,8.229,0.0,True,1.0,0.0,0.0,6,4,0
51079,37594a99-dbad-4179-a2da-2e412df312e6,Greene,0.0,-0.5,0.0,0.0,0.0,100,50.0,29.389029886154134,58.77805977230827,0.0,58.77805977230827,0.0,0.0,0.0,0.0,True,1.0,0.0,1.0,4,0,0
51081,68786dfc-50cb-4584-b094-984be3fab772,Greensville,55.86524657670563,55.86524657670563,1.6672899807534154,0.0,1807.6,6445,3222.5,16.034703206168857,32.06940641233771,0.0,32.06940641233771,1791.565296793831,411.3,53.469,0.0,True,1.0,0.0,0.0,13,7,0
51083,966cf1a0-e9c7-4278-8591-f00bf62999b2,Halifax,15.309933255455498,15.309933255455498,2.1490677968438203,0.0,1450.9,2780,1390.0,45.88570921067429,91.77141842134859,0.0,91.77141842134859,1405.014290789326,1517.1,197.22299999999998,0.0,True,1.0,0.0,0.0,7,15,0
